id,modelNumber,title,subTitle,url,image,priceData_price,priceData_salePrice,priceData_discountText,priceData_prices,colourVariations,rating,ratingCount,hoverImage
JS2852,NJA81,Crazyquick Padel Shoes,Men Tennis,/crazyquick-padel-shoes/JS2852.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7813f08b795c4fcfb7bd00a0ae30444b_9366/crazyquick-padel-shoes.jpg",100,100,0%,"[{'type': 'original', 'valueNoVat': 100, 'value': 100, 'discountPercentage': 0}]","['JP9591', 'JS2852', 'JP7231', 'IE3924']",4.4183,55,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3a58e667b84045e9aa3754e94e3115fa_9366/crazyquick-padel-shoes.jpg"
GW6455,LKK12,Tensaur Hook and Loop Shoes,Kids Sportswear,/tensaur-hook-and-loop-shoes/GW6455.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/fe51694c37e14c6db6e2ae8d003ff8f1_9366/tensaur-hook-and-loop-shoes.jpg",23,23,0%,"[{'type': 'original', 'valueNoVat': 23, 'value': 23, 'discountPercentage': 0}]","['IG8801', 'GW1988', 'GW1990', 'GW6456', 'GW6455', 'GW6468', 'IF1734', 'JH9527', 'JH9528', 'H06301', 'JQ2876']",4.8439,1217,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c84caca361424f709035ae8d003f5f1f_9366/tensaur-hook-and-loop-shoes.jpg"
JR2121,BTP23,Handball Spezial Shoes,Originals,/handball-spezial-shoes/JR2121.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/e25faeafaf5c497690385e9322298032_9366/handball-spezial-shoes.jpg",90,90,0%,"[{'type': 'original', 'valueNoVat': 90, 'value': 90, 'discountPercentage': 0}]","['JH7557', 'JR2121', 'DB3021', 'JR3846', 'JR3845', 'BD7632', 'BD7633', 'JP5356', 'IE3403', 'JH5438', 'JH5439', 'JH5436', 'JH5437', 'JH5435', 'JH5450', 'JH5451', 'JH5445', 'JH5444', 'JR4881', 'JR4880', 'JR4879']",4.8068,5382,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c79c615290ef4adbb1b1a69c8c58919f_9366/handball-spezial-shoes.jpg"
JQ5609,NLD75,Runfalcon 5 Shoes Kids,Kids 4-8 Years Sportswear,/runfalcon-5-shoes-kids/JQ5609.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/0219bf28869340f2baa8d3e1281fb7c2_9366/runfalcon-5-shoes-kids.jpg",30,30,0%,"[{'type': 'original', 'valueNoVat': 30, 'value': 30, 'discountPercentage': 0}]","['JP5147', 'JP5150', 'JQ5610', 'JQ5609', 'IE8580', 'IE8574', 'IE8573']",4.7749,524,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/485b87a33c9540398be705e25e98c093_9366/runfalcon-5-shoes-kids.jpg"
IE6132,NLD67,Lite Racer 4.0 Shoes,Sportswear,/lite-racer-4.0-shoes/IE6132.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/88a4f31fbc0f40fa8651663906a8813e_9366/lite-racer-4.0-shoes.jpg",45,45,0%,"[{'type': 'original', 'valueNoVat': 45, 'value': 45, 'discountPercentage': 0}]","['JR8544', 'IE6132', 'IE6134', 'IE6133']",4.7289,697,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/b08c080cd2d24ecbbd92160f9b253ac8_9366/lite-racer-4.0-shoes.jpg"
IH5483,OPH68,Gazelle Indoor Shoes,Originals,/gazelle-indoor-shoes/IH5483.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/e256892919d54aa597c8fbdce925f537_9366/gazelle-indoor-shoes.jpg",95,95,0%,"[{'type': 'original', 'valueNoVat': 95, 'value': 95, 'discountPercentage': 0}]","['JP5309', 'JS1397', 'JS1396', 'JS1406', 'JS1412', 'JS1411', 'JS1410', 'JI2713', 'JI2714', 'JI2718', 'JI2719', 'IH5483', 'IH5484', 'JQ0193', 'JQ0192', 'JI1371', 'JH7370']",4.6258,163,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/55ebbdbfa42942f0bf3cfe9d8b10a160_9366/gazelle-indoor-shoes.jpg"
JR1640,ONR42,SL 72 OG Shoes,Originals,/sl-72-og-shoes/JR1640.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/33846cecf729449aad207f6ec8618d4e_9366/sl-72-og-shoes.jpg",90,90,0%,"[{'type': 'original', 'valueNoVat': 90, 'value': 90, 'discountPercentage': 0}]","['JI0181', 'JI0187', 'JI0189', 'JI0188', 'JI0193', 'JI0195', 'JI0199', 'KK3661', 'KK3660', 'JQ8316', 'JQ8314', 'JQ8315', 'JQ8309', 'IF1940', 'JQ1180', 'JS1311', 'JR4230', 'JR4229', 'JQ7397', 'JR1639', 'JR1640', 'JI2746', 'JS0255', 'JS0254', 'JH7226', 'JH7392', 'JH7391']",4.8155,195,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3b1718dd5df741aeba21adebe5ab385a_9366/sl-72-og-shoes.jpg"
HR0319,LSB27,Advantage Shoes,Women Sportswear,/advantage-shoes/HR0319.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/31ebea34a1f4407c9000af4700ec1730_9366/advantage-shoes.jpg",70,35,50%,"[{'type': 'original', 'valueNoVat': 70, 'value': 70, 'discountPercentage': 50}, {'type': 'sale', 'valueNoVat': 35, 'value': 35}]","['HR0321', 'HR0322', 'HR0319']",4.6951,141,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/b117de6206bc439f8a55af4700dd64ca_9366/advantage-shoes.jpg"
JR8163,MBV19,Campus 00s Shoes,Originals,/campus-00s-shoes/JR8163.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/759f51672ca44b59bf3fd5f26a6a62bc_9366/campus-00s-shoes.jpg",90,90,0%,"[{'type': 'original', 'valueNoVat': 90, 'value': 90, 'discountPercentage': 0}]","['JI3163', 'JI3167', 'JR8163', 'JR8162', 'ID1435', 'JQ8349', 'JQ8346', 'JQ8354', 'JQ8356', 'JP9997', 'JS1103', 'H03471', 'H03472', 'JQ7439', 'JR1646', 'HQ8708', 'JH8789', 'JH8794', 'JH8793', 'JH8790', 'JH8998', 'JH8997']",4.7992,473,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d53fbd21594641a1ace0d53ccf24fb65_9366/campus-00s-shoes.jpg"
JS0018,OPV61,Moveboost Shoes,Running,/moveboost-shoes/JS0018.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/fe1cc589739246949ffbdc166a32940b_9366/moveboost-shoes.jpg",92,64.4,30%,"[{'type': 'original', 'valueNoVat': 92, 'value': 92, 'discountPercentage': 30}, {'type': 'sale', 'valueNoVat': 64.4, 'value': 64.4}]","['JS0019', 'JS0018', 'JS0020']",N/A,-99,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/177c922b75ec40458a8ce70452fe13ba_9366/moveboost-shoes.jpg"
